top200_Celf4_targets,top500_Celf4_targets,parikshak_2016_ctx.M4,parikshak_2016_ctx.M9,parikshak_2016_ctx.M10,parikshak_2016_ctx.M16,parikshak_2016_ctx.M19,parikshak_2016_ctx.M20,psychEncode_ASD_FDR<0.01,psychEncode_ASD_FDR<0.001,psychEncode_SCZ_FDR<10e-5,psychEncode_SCZ_FDR<10e-9,psychEncode_BD_FDR<0.01,psychEncode_BD_FDR<0.001,SFARI_ASD_Candidate,FMRP_targets_Darnell_2014,conserved_CHD8_promoters_Cotney_2015,CPEB4_binding_Parras_2018,Rbfox1_up_target_genes_Lee_2016,All_Rbfox1_regulated_genes_lee_2016,All_Rbfox1_3'UTR_targets_Lee_2016
ENSMUSG00000009075,Col25a1,ACTR2,TRPS1,HNRNPH2,CCDC104,CD93,SOX4,SERP1,,EMBP1,EMBP1,MTATP6P1,,,ACTB,SCMH1,Ggnbp2,Vamp1,Trim37,Slc2a3
ENSMUSG00000016624,Cpeb4,SRRM4,GCDH,RNF6,LRP11,RAP1B,BMP2,MMD,,EME2,EME2,LMBR1L,,,BAZ2A,FOXJ3,Zbtb14,Vps29,Sult4a1,Slc8a1
ENSMUSG00000019944,Cpne4,NOVA1,DNASE2,FXR2,CISD1,ZFP36,ZNF436,ZNF516,,SAMD5,SAMD5,PER1,,,PLXNA2,FOXJ3,Nap1l5,Vps35,Adarb1,Slc9a6
ENSMUSG00000020747,Crim1,SLC12A6,PON2,THEM6,NLN,A4GALT,PCNXL4,RP11-278C7.2,,ADCY2,ADCY2,F8A3,,,RAP1GAP,FOXJ3,Ube3a,Vsnl1,Ncoa1,Smpd3
ENSMUSG00000033854,Csmd1,HMG20A,PTN,MAS1,SLC12A5,TEP1,TNFRSF19,BST2,,OTOS,OTOS,MACROD1,,,GTF3C1,FOXJ3,NA,Wasf1,Rab40b,Syt11
ENSMUSG00000047153,Cstf2t,GLYR1,LFNG,LRRC47,RAB22A,RHBDF2,CALU,VWC2,,GPR6,GPR6,PPP1R3B,,,MAP2,PPCS,Ube2w,Zfp238,Gpd2,Tmeff1
ENSMUSG00000020099,Ctgf,C16orf58,TSPAN12,MPP1,UBE2QL1,STARD8,LRCH2,SMARCD3,,S100A9,S100A9,RP11-196G18.23,,,AMPH,ZMYND12,Slc5a3,Zfp239,Caprin1,Tmem106b
ENSMUSG00000071646,Ctnnd2,VPS53,ARHGEF26,DHX30,GOT2,PVRL2,NCAN,PLXDC1,,TMEM86A,TMEM86A,RP1-249H1.4,,,GNB1,YBX1,NA,Zmat2,Snx16,Tmx4
ENSMUSG00000023017,Cxadr,NPEPPS,PTPRZ1,EFR3A,GRIA3,BST2,COL5A1,COX7A1,,KCNK1,KCNK1,HCG22,,,CIC,SLC2A1,N4bp2,,Armc1,Tpbg
ENSMUSG00000032854,Cyb561,AFG3L2,RARRES2,MYBBP1A,NAPB,ARPC1B,ULBP2,RAP2B,,SELPLG,SELPLG,OR8S1,,,SLC4A4,SLC2A1-AS1,Dnajb4,,Skil,Zfp871
ENSMUSG00000060716,Cyr61,RPTOR,TMEM176B,ARHGEF11,PCSK2,HELZ2,TRAF7,DDX1,,MAP3K6,MAP3K6,POMGNT2,,,SMARCA2,SLC6A9,Atp2a2,,Fam131b,6330527O06Rik
ENSMUSG00000075602,D10Bwg1379e,STAC2,GLI3,GPR12,TUBA4A,PPFIA1,GCH1,FKBP14,,RHOBTB3,RHOBTB3,FCHSD1,,,DLGAP4,GPBP1L1,Lin7c,,Elovl4,AI593442
ENSMUSG00000040865,D3Bwg0562e,CACNG8,LHX2,DSTYK,YWHAH,CHSY1,LGR6,FYCO1,,TMEM44,TMEM44,CERKL,,,IGSF9B,TMEM69,Kpna1,,Camkv,Arf4
ENSMUSG00000018846,Dach1,IGLON5,KANK1,MRAP2,TMOD2,TRIM21,VHL,NREP,,FEZ1,FEZ1,LOX,,,GSK3B,PIK3R3,Yme1l1,,Serbp1,Arl8b
ENSMUSG00000041592,Dcaf12l1,EFHD2,GLIS3,GLS2,BCL2L2,TRIM5,MEIS2,NFKB2,,SERPING1,SERPING1,MED9,,,TRPM3,PIK3R3,Map4k5,,Setd7,Atp1a1
ENSMUSG00000068262,Dgcr8,PEX14,BMPR1A,FAIM2,RTN3,CARD6,TSPAN2,RABEPK,,4-Mar,4-Mar,ZNF215,,,DOPEY1,LRRC41,Dnajc3,,Neurod2,B3gat3
ENSMUSG00000037754,Dgkb,WDTC1,RNF43,CCT7,ASH2L,BTG1,NAV1,MAPKAPK2,,SLC25A38,SLC25A38,FLI1,,,KAT6A,UQCRH,Uap1,,Pcp4l1,Camk2n1
ENSMUSG00000045039,Dgke,CCNI,SLC9A3R1,RAB11FIP5,UNC13A,SWAP70,DSG3,LZTS1,,DAW1,DAW1,GAL3ST4,,,ULK2,CMPK1,Nkrf,,C1qtnf4,Camk4
ENSMUSG00000029714,Dgkh,PLEKHA6,RAB34,ISCU,SULT4A1,RNF122,PDGFRA,CABP1,,SERTAD4-AS1,SERTAD4-AS1,SIN3B,,,PDS5B,BEND5,Ppp2r5c,,Prrt2,Cbln3
ENSMUSG00000024045,Dhx37,ZNF385B,CPE,IREB2,KIF3A,EMP1,APC,USP33,,PLCD1,PLCD1,CEP104,,,FAT1,FAF1,Nufip2,,Flot2,Chrm1
ENSMUSG00000028914,Dhx9,ZMYM3,ELP4,USP20,TUBG1,DSC2,ANKRD6,PTH2R,,FKBP5,FKBP5,IVNS1ABP,,,NCOA1,RNF11,Usp45,,Cnih3,Clcn3
ENSMUSG00000029119,Dlg2,FAM171A1,CPT1A,MAT2B,MAP1B,COL4A2,GDF11,PTBP3,,KIAA1147,KIAA1147,SMG6,,,KIF3C,ZFYVE9,Prpf39,,Vstm2b,Cplx1
ENSMUSG00000038002,Dnajb9,ANK3,SLC1A2,SLC4A8,MAPK9,TES,SERPINE2,KCNA1,,MC4R,MC4R,SLC25A26,,,MAST2,ZCCHC11,Sox11,,Scn2b,Cx3cl1
ENSMUSG00000050511,Dner,PLBD2,SOX6,FLOT1,IMMT,FAM129A,SCYL2,ANKRD6,,RCN1,RCN1,EIF3L,,,FAT2,LRP8,Cables1,,Krt75,Ddx17
ENSMUSG00000089809,Dnm3,TGOLN2,ACSS3,MRPL15,SYT4,LAMC1,THSD1,ABLIM2,,C10orf105,C10orf105,MDK,,,HUWE1,SSBP3,Tmem106b,,Tyro3,Dhcr24
ENSMUSG00000048234,Dnmt1,SPOCK1,NTSR2,PREPL,ATP8A2,SP110,SPRY2,FAM131B,,ARL4D,ARL4D,AVPI1,,,GNAO1,SSBP3,Uri1,,Tes,Dnm3
ENSMUSG00000020190,Dock4,SRP19,ALDH2,STAMBPL1,DCLK1,DRAM1,MMD2,EDN3,,LRRC17,LRRC17,CACNA1H,,,ADD1,LOC100507634,Abi1,,Herpud1,Dpp10
ENSMUSG00000020280,Dok6,UBP1,CEP85L,ARL3,KRAS,HLX,ABHD17C,GNA13,,MT1X,MT1X,HEXA,,,GNAS,USP24,Gclc,,Syt12,Epdr1
ENSMUSG00000068966,Dpp10,GDPD1,SASH1,ZNF365,ARL8B,MYC,DCAF7,FGF14,,CACNA1H,CACNA1H,SLC39A4,,,DOCK9,USP1,B3galt1,,Doc2a,Flot2
ENSMUSG00000021493,Dpysl2,MIA3,B3GAT2,USO1,LDHA,PIM1,ABI1,DNPEP,,CX3CR1,CX3CR1,ROBO3,,,DOCK3,USP1,Glt8d2,,Tmem25,Fnbp1l
ENSMUSG00000035726,Dscam,FAM69A,NR2E1,C12orf10,FAM127A,IER3,KLF4,FAH,,IL17REL,IL17REL,GAPT,,,DZANK1,DOCK7,Rdx,,Kcnj3,Gabra6
ENSMUSG00000020135,Dtd1,SLC24A2,CCNG1,ESYT1,PAK1,TLR2,KIF12,CNN3,,LTC4S,LTC4S,VANGL1,,,GCN1L1,ATG4C,Efha2,,Fras1,Gad1
ENSMUSG00000025969,Eea1,FAM161B,SMAD5,FTO,UBQLN1,LRRC32,DERL1,RRN3,,SMG6,SMG6,WNT2B,,,RPH3A,EFCAB7,Trnt1,,Sema7a,Ghitm
ENSMUSG00000014329,Eefsec,SSBP3,EHHADH,UQCRC2,RNFT2,CASP1,SLCO5A1,PCOLCE2,,SEMA3F,SEMA3F,AGPAT2,,,DDX24,ITGB3BP,Pja2,,Ptchd2,Gpr22
ENSMUSG00000014932,Efha1,RNF111,KAT2B,CDR2,KIAA0513,SQRDL,SDCBP,HTR3B,,KCNC3,KCNC3,RP11-714L20.1,,,STRN4,SLC35D1,Paip1,,Nova2,Gpr88
ENSMUSG00000037513,Efha2,TAB3,ACAP2,BCAS3,VPS36,MYOF,THBS1,CPLX2,,KCNIP3,KCNIP3,FUK,,,PITPNM2,NEGR1,NA,,Clock,Gprc5b
ENSMUSG00000054517,Eftud1,C9orf91,PLSCR4,SCYL1,ELOVL4,PLCE1,FNBP1L,EPHB6,,POLR1E,POLR1E,UTRN,,,RAPGEF4,FUBP1,Suclg2,,Phip,Grina
ENSMUSG00000041362,Egr1,CABP1,MAPKAPK3,KIAA0319L,,PARP9,CH25H,CHGA,,ITPKB,ITPKB,SNAP47,,,JPH4,PRKACB,Mat2a,,Bcl7a,Herpud1
ENSMUSG00000047731,Egr4,AP3S2,EPB41L5,SLC16A7,TACO1,SCAF11,DUSP5,STXBP5L,,CYP4F11,CYP4F11,LINC00664,,,SLC22A17,SH3GLB1,Ypel2,,D0H4S114,Hipk3
ENSMUSG00000017667,Eif1ax,C12orf43,EFEMP1,SMYD2,SCN2A,RAB20,ENTPD1,EIF5A2,,CTD-2044J15.2,CTD-2044J15.2,BBC3,,,DPYSL2,LMO4,Yes1,,Col1a1,Hivep2
ENSMUSG00000028405,Elmod1,DMTN,TPD52L1,TMEM177,KIAA0368,SEC11A,TET1,LRTM2,,KCNE4,KCNE4,GIMAP8,,,HIVEP1,PKN2,Gabra4,,Sema4d,Hlf
ENSMUSG00000041939,Eml5,HIPK4,DARS,SLC4A10,TUBGCP4,NLRC5,RASGEF1B,RP11-761N21.2,,SLC27A4,SLC27A4,GIMAP7,,,HSP90AB1,LRRC8D,Elovl5,,Enox2,Kcnc3
ENSMUSG00000056493,Epb4.1l4b,ZER1,PARD3B,PTH2R,RTCA,TP53,11-Sep,EXTL2,,DHRS3,DHRS3,SDCBP2,,,FBXL19,LRRC8D,Cacnb2,,Plp1,Lin7c
ENSMUSG00000018378,Epha5,PSMC2,DOCK7,ABHD10,FBXO11,SLC16A3,SHROOM3,ATP2B1,,CYB561A3,CYB561A3,C20orf203,,,HCN2,MTF2,Pcm1,,Zdhhc21,Lnp
ENSMUSG00000035958,Epha6,KIAA1841,WLS,STXBP5L,WDR12,ATHL1,FBN2,RGS7,,SDC2,SDC2,SLC25A21-AS1,,,ARVCF,FNBP1L,Zfp800,,Cacnb4,Mbtps2
ENSMUSG00000039678,Epm2aip1,DHX57,TROVE2,PIK3R1,BBS7,EMP3,PHLDA1,PELI3,,ITM2A,ITM2A,RWDD4,,,KLHL22,BCAR3,Ccrn4l,,Ccnd2,Meg3
ENSMUSG00000051344,Erbb4,C3orf49,TMED5,ARHGAP26,CDKL2,EPHA2,LUM,LONRF3,,LINGO1,LINGO1,TNPO2,,,CABIN1,MIR760,Efr3a,,Mcts1,Ncam1
ENSMUSG00000028273,Erc2,UBLCP1,CNN3,GFOD1,KIF21A,HSPG2,GAS2L3,PLLP,,DNALI1,DNALI1,NCAPH2,,,MAPK1,GCLM,Wsb1,,Rgs17,Nedd4
ENSMUSG00000009406,Ero1l,CITED2,F3,CLVS2,PRICKLE1,FCGR2A,RB1,TMX4,,SLC7A3,SLC7A3,ZNF295-AS1,,,3-Sep,CNN3,Pcdh7,,Lrp11,Nell2
ENSMUSG00000026409,Esrrg,PSIP1,ABCD3,ATP6V1B2,CLSTN3,MCL1,TLE3,SPAG6,,MYCT1,MYCT1,KIAA1147,,,PPP6R2,LOC729970,Nlk,,Klc2,Ociad1
ENSMUSG00000038175,Esyt2,TMEM63C,PRDX6,RSPO2,SBNO1,RAB13,ABHD2,NEK6,,TNFRSF1A,TNFRSF1A,CASP10,,,SBF1,PTBP2,Gad1,,Cplx2,Pafah1b1
ENSMUSG00000001138,Fam120a,C10orf118,FBXO30,CAMK2G,EPHB6,RIT1,ZNF710,VASP,,FAM211A,,C5orf45,,,AP1B1,HIAT1,Smc3,,Eps15,Pdzd8
ENSMUSG00000026031,Fam126a,HIF1AN,NEK6,HYOU1,APP,NFKBIZ,CDH11,ABCC12,,GRAMD2,,RESP18,,,SYNGR1,SASS6,Zfyve1,,Vps29,Plp1
ENSMUSG00000026207,Fam135b,API5,HSDL2,SCN2B,CELSR2,COL8A1,GALNT1,LACTB,,GALNT7,,RSBN1L-AS1,,,CACNA1I,TRMT13,Kit,,Atp1a1,Ppp1r15b
ENSMUSG00000030019,Fam155a,ARIH1,RHOQ,TMEM25,SUSD4,ATP10D,MAPK4,LHFPL1,,FGF2,,LPAR6,,,TNRC6B,RTCA,Tm7sf3,,Phyhipl,Prkar1a
ENSMUSG00000060257,Fam70a,TRIM44,GPAM,ALDOA,NRN1,OSMR,SIK1,INPP5J,,P2RY13,,RP11-354P17.15,,,EP300,ATXN7L2,Scai,,Limd2,Prkcb
ENSMUSG00000008393,Fam82a2,IDH3A,PPP1R3C,ITPR1,UNC80,TNFAIP8,FBN3,SLC25A40,,STAT3,,TSHR,,,ZC3H7B,CAPZA1,Ivns1abp,,Pnoc,Prune2
ENSMUSG00000024962,Fank1,TMEM130,GNA13,ME3,IQSEC1,PPP1R18,RXRG,MBTPS2,,ACOT6,,EI24,,,ACO2,ST7L,Herpud2,,Mapk10,Rab1
ENSMUSG00000050052,Fbxo25,LEO1,CYSTM1,THYN1,SNCA,GNA12,DYRK3,UCHL5,,GIMAP6,,DPH3,,,TRIM9,PHTF1,Adss,,Camk2b,Rab3c
ENSMUSG00000002274,Fbxo34,KIAA0430,SERP1,NBAS,ANK2,MSN,ACTA1,TMEM176A,,GLCE,,DCP2,,,DICER1,RSBN1,2310008H09Rik,,Atxn7l3,Rock2
ENSMUSG00000020100,Fgf14,CACNG2,CLU,AK5,6-Mar,PLIN2,GALNT2,SDC1,,TXNDC17,,SGSH,,,PCNX,HIPK1,Zfp191,,Sema4f,Rpn1
ENSMUSG00000040928,Flrt2,MAP1A,EPHX2,ANKH,MDH2,ITPRIP,ETNK2,RAP1B,,DUSP27,,CYB561D1,,,CHD8,TRIM33,D16Ertd472e,,Scrn3,Scn4b
ENSMUSG00000027678,Fos,RBFOX3,CAT,TTC39B,OSBPL10,SERPINH1,PDIA6,MR1,,KLF15,,CCDC127,,,SEC23A,ATP1A1,Sh3glb1,,Xk,Serpine2
ENSMUSG00000042535,Fosl2,MLST8,GJB6,HK1,PRPS1,FERMT3,MALL,NECAB1,,RASGRP3,,KLRC4,,,TRPC4AP,ATP1A1,Crk,,Gipr,Slc2a13
ENSMUSG00000022443,Foxo6,COPS6,CXCR4,EIF4A2,THRB,LATS2,THSD7B,ZBED5,,SLC14A1,,KIAA0319L,,,ADNP,MAN1A2,Gmps,,Fam179b,Spock3
ENSMUSG00000032777,Foxp2,CPLX1,EFEMP2,ZFYVE9,KCNB1,EPS8,AMMECR1L,MGST1,,BTG1,,RNF212,,,DIDO1,PDE4DIP,Cat,,Fstl4,Srcin1
ENSMUSG00000050229,Fpgt,MAP2K1,ACO1,STEAP2,AKAP6,BAG3,FAM171B,GOT1,,BIRC3,,RP11-302B13.5,,,EEF1A2,BCL9,NA,,Tll1,Timp2
ENSMUSG00000073680,Frmpd4,MECP2,P4HA1,CACNA2D3,PEF1,KCNE4,VGLL4,SMG6,,FAM78A,,PPIL3,,,SNPH,HIST2H2AB,Gli3,,Flot1,Tm9sf3
ENSMUSG00000027655,Fry,TBC1D10B,ACADS,FAM81A,MFSD6,MOV10,CSRNP1,LANCL1,,CLU,,FAHD2B,,,LPIN2,HIST2H2AC,Elavl1,,Jakmip1,Tmem68
ENSMUSG00000039967,Frzb,HARS,HVCN1,TPRG1L,GLT1D1,SLC26A2,PTPRG,ATRNL1,,C1orf213,,FKBP8,,,MIB1,HIST2H2BE,Cited2,,Cmya5,Trim37
ENSMUSG00000052305,Fut9,SCRT1,RASSF8,GPRASP2,RABGAP1L,MMP14,PHLDB2,WDR1,,CHST1,,ABCG2,,,WDR13,PLEKHO1,Dmtf1,,AI837181,Tspyl4
ENSMUSG00000032637,Fxyd6,NPTX1,SSPN,PINK1,TRIM36,SRGAP1,ADAMTS19,EMP3,,SESN1,,TMEM229A,,,CDK16,RPRD2,1810019J16Rik,,Spock1,Usp14
ENSMUSG00000034220,Fzd3,FAM98B,ITPR2,NDUFS2,UBE2V2,TAGLN2,SLC22A3,CYFIP1,,DSC2,,ANGPTL4,,,ARHGEF7,MCL1,Adnp2,,Tac1,Ywhag
ENSMUSG00000042532,Gabra1,TPPP,SLC12A4,PSMD4,PART1,F11R,SRCRB4D,ADRA1D,,RP11-480C22.1,,RP11-632C17__A.1,,,NDRG4,CERS2,Cmtm6,,Phactr1,Zdhhc17
ENSMUSG00000045691,Gabrg3,KSR2,SDC4,VPS11,YWHAG,RUNX1,ARHGAP36,ATG16L1,,CAPN5,,MAP3K1,,,SMPD3,CDC42SE1,4833420G11Rik,,Plcxd2,Zranb2
ENSMUSG00000054277,Gjd2,RNASEH1,AHNAK,ALKBH4,FBXL2,BTG2,NFIB,ANKHD1-EIF4EBP3,,MTM1,,ERGIC3,,,TSC2,MLLT11,Wapal,,Il16,1190002N15Rik
ENSMUSG00000021597,Glcci1,ABCG4,MT2A,KLHDC9,PTPRN2,HK2,,SLC45A1,,MPPED2,,AP000439.1,,,HERC1,PIP5K1A,Gprin3,,Efnb3,3632451O06Rik
ENSMUSG00000028967,Glra2,FADS6,SOX21,VSNL1,ATP6V1C1,C1R,ZEB1,C12orf68,,HAP1,,RPL4,,,ZNF106,ZNF687,Zfp148,,Nid1,Abi2
ENSMUSG00000033684,Glra3,RNF26,C1orf61,OIP5-AS1,PCDH1,SHC1,PLCH2,PJA2,,NISCH,,CALML4,,,DMXL2,POGZ,Ccny,,Lpl,Actr10
ENSMUSG00000041815,Glrb,ZBTB4,AMOT,CHCHD4,NMNAT2,IL6R,PCDH15,RP11-792D21.2,,NOL3,,KRBOX4,,,UBR5,SNX27,Neurod4,,Iyd,AK165889
ENSMUSG00000048022,Gm10118,SRP72,MASP1,GMPS,BRAF,CXCL16,KLHL1,DRGX,,ADO,,RP5-1100I6.2,,,TUBB4A,CHTOP,Pgam5,,Igfbp3,Akap6
ENSMUSG00000063801,Gm10419,KLC2,ATP13A4,SENP2,DYNC1I1,PDPN,LYPD1,MLTK,,2-Mar,,TICAM1,,,DOT1L,S100A13,Rnf6,,Ctage5,Ank
ENSMUSG00000040811,Gm3086,C11orf68,FGFRL1,ABLIM2,KIAA1967,GBP2,RILPL2,COL25A1,,SMAD1,,RPL5,,,SLC17A7,GATAD2B,Hcfc2,,Npr3,Arl6ip1
ENSMUSG00000055435,Gm5567,UBE2O,PLA2G5,CCDC51,SYNJ1,MAPKAPK2,ENKUR,PREP,,NUCB1,,RPL23AP7,,,PPP6R1,C1orf43,Tmem64,,Chodl,Ash1l
ENSMUSG00000071454,Gmps,CIDEA,TST,SLU7,SV2A,S100A9,PDE6D,RP5-855F14.1,,SLC35A5,,RP11-820K3.2,,,PLD3,UBAP2L,2700089E24Rik,,Cxadr,Atp6ap2
ENSMUSG00000000823,Gp1bb,LPCAT4,MKLN1,ORC5,ATP13A2,FSTL1,WWC2,ZNF365,,FCGR3B,,ZSCAN29,,,CLIP3,UBAP2L,Gphn,,Nppc,Bsn
ENSMUSG00000032305,Gpc4,MTX3,SMO,ZMAT4,CHRNB2,IFI16,GABRA2,EPS15,,C4orf50,,ZNF271,,,APLP1,UBE2Q1,Mfap3l,,Ntsr1,C1qtnf4
ENSMUSG00000037287,Gpd2,HTR1F,,FBXO33,RUSC1,ADAMTS9,FARP1,KCNS2,,DUSP26,,BAG4,,,HNRNPUL1,ADAR,A830018L16Rik,,Gpr125,Cacna1e
ENSMUSG00000038544,Gpm6a,MAGED1,PALLD,CKB,RFPL1S,DTX3L,UTRN,C6orf118,,SOCS3,,ZCCHC18,,,ATP1A3,PYGO2,Snap23,,Slc6a6,Calm2
ENSMUSG00000025246,Gpr101,RAD23A,BBOX1,TERF2IP,ELAVL4,ELOVL7,STK32B,GPCPD1,,NETO2,,SPTLC1,,,PTPRS,FLAD1,D1Ertd622e,,Me3,Calm3
ENSMUSG00000039633,Gpr137c,FAM73A,PLD2,MFSD3,SLC45A1,MB21D1,SREK1IP1,SLC35B4,,ULK3,,ATP6V1F,,,PPP2R1A,MTX1,Trim27,,Clec1a,Camk1d
ENSMUSG00000041642,Gpr158,POLR2A,MMP28,SPRYD3,ARPC1A,C2,RASSF3,FAHD2CP,,PHLDB3,,PYGB,,,TNPO2,THBS3,Btbd7,,Slc16a2,Camk2g
ENSMUSG00000043311,Gpr165,CCDC149,SLC44A2,EIF5A2,ATP1A1,WEE1,RBMS1,KCNB2,,AHCYL1,,IGFBP4,,,MAST1,ASH1L-AS1,Hnrnpk,,Filip1,Capza2
ENSMUSG00000026811,Gprin3,TDRKH,HEATR5A,GFRA2,EIF4E3,B2M,HS2ST1,FRG1,,LIMK2,,ARL2,,,CRTC1,ASH1L,Tor1aip1,,Trhr,Cd200
ENSMUSG00000068267,Grb10,CAMK1D,EGLN3,TSPAN5,CADPS,NXN,TBCEL,PRR4,,GMPR,,ZNF546,,,FKBP8,MEF2D,Pdp1,,Ppp1r14c,Cd99l2
ENSMUSG00000025192,Gria3,EFNA5,ARHGEF6,,CDS1,MLKL,SH3RF1,RP11-681L4.1,,CTA-250D10.23,,CCNF,,,GRIK5,HDGF,Ypel5,,Abca8a,Celf2
ENSMUSG00000032038,Grin2a,PABPC1L2B,PRSS35,PARM1,TMEM155,STAT3,JAM2,PLD6,,GAN,,CHST1,,,SIPA1L3,HDGF,Trim9,,Vwc2l,Cnih
ENSMUSG00000025880,Grin2b,INPP5J,PHF10,LUZP1,STXBP5,ATOH8,MARCKS,GPRIN3,,ERBB2,,SLC2A4RG,,,OGDH,HDGF,Cct4,,Gpr6,Cspg5
ENSMUSG00000030335,Grin3a,LMLN,APOE,IRF2BP1,HCN1,TNIP2,MARVELD1,CLASP2,,CYP46A1,,KDM1A,,,ADAP1,PRCC,Peli1,,Pcdh19,D3Bwg0562e
,Grm8,NAT8L,SLC27A1,ZBTB24,ADCY1,LGALS9,MMP16,RP11-5N11.6,,TCTA,,URGCP,,,CHN2,ARHGEF11,Far1,,Xkr4,Ddx5
,Gucy1a2,THNSL1,STK33,NECAB1,TMEM246,PXDC1,SAMD8,FAM221A,,DPY19L2P2,,TMEM167B,,,COBL,ETV3,Hnrpdl,,Dsp,Eif4g2
,Hap1,PABPC1L2A,SLC7A10,ZNF483,HPRT1,LIMS1,B3GNT7,DLGAP1,,FZD4,,GPNMB,,,DNM1,ETV3,Cdkn2aipnl,,Sec14l3,Elmod1
,Hcn1,HEXIM1,RHPN2,FAM3C2,NGEF,TM4SF1,FZD1,ASB8,,ACY3,,FAM87A,,,NCS1,PEX19,Vcpip1,,Irs1,Enah
,Hcn4,NAP1L1,LGALS3,PRPF8,HSPA12A,CD14,TMEM164,ATP6V0E1,,CTH,,TRAF3IP3,,,KCNT1,USF1,Tial1,,Znrf2,Fam3c
,Hdgfrp3,DCC,SLC6A11,PELI3,SVOP,FPR1,SCUBE1,COPS7A,,DNAJC27,,NKG7,,,RAPGEF1,USF1,Ptbp3,,Kdr,Fat2
,Herc2,UBQLN2,RAMP1,ZNF25,NOLC1,ZNF217,CCDC28B,PDHB,,USP16,,RP11-138I18.2,,,APBA1,DEDD,9330159F19Rik,,Mapk3,Fbxo41
,Hipk3,PAQR9,HRSP12,KBTBD11,NLK,CEBPB,GPSM1,EHD4,,PGM5,,IL7R,,,SETX,DEDD,Fam3c,,Mgam,Fem1b
,Hist1h2br,PARVB,RIN2,SCN4B,C16orf45,KLHL6,IER2,ISG15,,KAL1,,KLKB1,,,ABCA2,DEDD,B4galt6,,Tmem28,Fzd3
,Hivep2,ARMCX4,BCAN,KCNA2,YWHAB,MYD88,LRRC56,CDHR3,,GPD1,,BLNK,,,GBF1,ATF6,Sybu,,Fndc1,Fzd7
,Hmgb1,PPTC7,SLC41A1,IMP3,SLC27A4,RELA,ACOX1,PRICKLE1,,EGFL8,,P2RY12,,,ARHGAP21,PBX1,Rras2,,Gm4926,Gabbr1
,Hs6st2,PSMD12,ALDH7A1,KLHL11,IRGQ,BNC2,PLCD3,SCN1A,,DDIT4,,RP11-64P14.7,,,ZMIZ1,UCK2,Mbtd1,,Neat1,Gabrb2
,Htr2c,SPTAN1,TEX15,FARSA,ATCAY,PARP14,RAVER2,SCAI,,KCNA1,,FKBP5,,,GIT1,POU2F1,Pvrl3,,AU023762,Gde1
,Ids,ERO1L,DDAH2,C3orf80,ABCA3,MMRN2,LZIC,IGFBP5,,CASC15,,WNT6,,,RAPGEFL1,POU2F1,Gtpbp10,,Crlf1,Gdi1
,Igf1r,MRPL42,MRO,EXOC3,PHYHIP,PPP1R3B,DRAXIN,PCBD1,,CPED1,,MCFD2,,,MTMR4,GPR161,Med1,,Galns,Gja1
,Impact,SIRPA,NOTCH2,SLC36A4,CHRM1,TNFRSF10D,ALPL,DDHD2,,MAML3,,RASGRF2,,,TRIM37,GPR161,NA,,Vtn,Golga7b
,Impad1,GRK6,IL6ST,STXBP5-AS1,KCNAB1,3-Mar,SNX7,GPLD1,,ANGPTL4,,ASAH2,,,CAMTA2,GPR161,Golph3,,Cadps2,Hook3
,Ints7,DDX42,RERG,COPG1,RALGAPB,CSRP2,ARPC5,KCNE4,,USP11,,MEF2C-AS1,,,MED13,GPR161,Efcab14,,Myo1b,Impact
,Irf2bp2,ZNF280B,C12orf39,PNMAL1,DLGAP1,TUBB6,C1orf106,CBFB,,FCRLB,,PNCK,,,HDAC5,GPR161,Pex11a,,Lsp1,Kcnc2
,Isca1,SH3BGRL2,LRP4,KBTBD3,PRKCE,ANO6,SRGAP2,VPS36,,RLF,,CAMKV,,,ALDOC,GPR161,Trps1,,Rspo3,Kcnj4
,Itfg1,NOS1AP,DTNA,PGBD4,CLSTN1,TGIF1,FBLN2,SPTSSB,,PVRL1,,RAB20,,,PHF12,ATP1B1,Supt20,,Nkd2,Kcnk3
,Itgav,KIAA1279,FADS2,C3orf37,GAP43,CD163,SNHG16,SPPL2B,,PPM1J,,MPEG1,,,TBC1D9,CACYBP,1810013L24Rik,,Mctp1,Kcnq5
,Itm2b,BAG6,CLDN10,PNMA3,NEGR1,DDX60L,SLMAP,ASH2L,,AC007690.1,,TBX18,,,CPE,CACYBP,Pum1,,Atad2,Kifap3
,Kbtbd7,C6orf136,PSAT1,ALDH1A3,ARNT2,RELL1,FOXQ1,PPP1R14B,,RERE,,GPR137C,,,CLCN3,FAM20B,NA,,Robo1,Klhl23
,Kcna3,,SDS,MAP7D2,PSMD1,BACE2,FABP7,TXNRD1,,LRRC8C,,SYT15,,,TRIM2,CEP350,Caprin1,,Myo5b,Lmbrd1
,Kcna4,,MDFIC,NOMO2,TOMM20,C1S,STK17A,KIAA1456,,IFITM2,,KCNA5,,,RAPGEF2,ACBD6,Tmeff1,,Tspan18,Lmbrd2
,Kcnc2,SNURF,NHSL1,NAP1L3,PITPNA,ORAI1,SLC29A4,EXTL1,,LOX,,TRIB2,,,PPARGC1A,GLUL,Igsf11,,Calb1,Mal
,Kcnh5,FAM115B,AGT,NAP1L2,SEZ6L2,ANXA2,BAALC,VAMP1,,CDK16,,HIP1,,,B3GAT1,GLUL,Minpp1,,Sh3gl3,Mapk1
